_3eme_filles;qp_a_proximite_o_n;nb_candidats_g;taux_de_reussite_g;nb_mentions_tb_g;taux_d_acces_6eme_3eme
33;Hors QP         ;59;93.0;7;88.0
33;Hors QP         ;70;81.0;6;86.0
100;Hors QP         ;168;71.0;14;85.0
100;Hors QP         ;187;77.0;16;79.0
59;Dans QP+200m    ;88;73.0;10;91.0
59;Dans QP+200m    ;86;95.0;15;92.0
41;Dans QP         ;111;72.0;17;87.0
41;Dans QP         ;86;76.0;7;92.0
87;Dans QP+200m    ;140;70.0;13;87.0
87;Dans QP+200m    ;135;76.0;17;91.0
38;Dans QP+200m    ;81;86.0;17;90.0
38;Dans QP+200m    ;71;92.0;11;89.0
109;Dans QP+200m    ;160;77.0;34;94.0
109;Dans QP+200m    ;159;78.0;27;94.0
64;Hors QP         ;113;80.0;26;96.0
64;Hors QP         ;110;82.0;20;94.0
72;Dans QP+200-300m;97;93.0;33;91.0
72;Dans QP+200-300m;116;87.0;30;92.0
44;Dans QP+200-300m;68;62.0;13;90.0
44;Dans QP+200-300m;83;77.0;15;91.0
59;Dans QP+200m    ;118;87.0;23;90.0
59;Dans QP+200m    ;108;91.0;24;91.0
43;Dans QP+200m    ;67;100.0;11;90.0
43;Dans QP+200m    ;64;91.0;10;88.0
59;Hors QP         ;99;98.0;20;91.0
59;Hors QP         ;99;93.0;32;89.0
56;Hors QP         ;74;82.0;7;89.0
56;Hors QP         ;74;84.0;16;90.0
25;Hors QP         ;35;100.0;12;92.0
25;Hors QP         ;41;95.0;15;77.0
61;Dans QP+200-300m;105;95.0;44;84.0
61;Dans QP+200-300m;95;92.0;37;88.0
61;Dans QP+200m    ;59;66.0;6;73.0
61;Dans QP+200m    ;68;79.0;9;73.0
66;Dans QP+200m    ;115;81.0;45;88.0
66;Dans QP+200m    ;81;63.0;19;87.0
55;Dans QP         ;98;93.0;33;92.0
55;Dans QP         ;96;88.0;24;95.0
51;Dans QP         ;124;68.0;13;78.0
51;Dans QP         ;115;75.0;15;82.0
60;Dans QP         ;116;94.0;28;90.0
60;Dans QP         ;89;94.0;30;93.0
44;Dans QP+200m    ;78;85.0;21;79.0
44;Dans QP+200m    ;67;73.0;16;90.0
67;Dans QP+200m    ;98;83.0;20;84.0
67;Dans QP+200m    ;125;78.0;13;79.0
53;Dans QP+200-300m;127;83.0;15;90.0
53;Dans QP+200-300m;109;78.0;21;89.0
63;Dans QP         ;145;82.0;26;92.0
63;Dans QP         ;129;84.0;16;93.0
45;Dans QP+200m    ;94;85.0;20;93.0
45;Dans QP+200m    ;104;80.0;21;93.0
40;Dans QP+200-300m;68;65.0;10;89.0
40;Dans QP+200-300m;60;63.0;5;86.0
47;Dans QP+200m    ;87;89.0;19;84.0
47;Dans QP+200m    ;86;83.0;21;76.0
35;Hors QP         ;56;88.0;15;84.0
35;Hors QP         ;70;87.0;11;80.0
63;Dans QP+200m    ;141;77.0;34;91.0
63;Dans QP+200m    ;135;77.0;28;91.0
79;Dans QP+200m    ;121;87.0;16;91.0
79;Dans QP+200m    ;133;86.0;27;89.0
82;Hors QP         ;117;89.0;31;89.0
82;Hors QP         ;137;91.0;40;92.0
68;Hors QP         ;157;88.0;47;91.0
68;Hors QP         ;199;95.0;77;89.0
58;Hors QP         ;93;91.0;22;92.0
58;Hors QP         ;125;90.0;37;95.0
43;Hors QP         ;101;76.0;21;96.0
43;Hors QP         ;100;71.0;13;94.0
35;Dans QP+200m    ;51;84.0;7;78.0
35;Dans QP+200m    ;47;89.0;7;85.0
43;Dans QP+200m    ;84;94.0;16;88.0
43;Dans QP+200m    ;92;84.0;19;86.0
21;Dans QP         ;55;93.0;12;72.0
21;Dans QP         ;43;88.0;10;77.0
23;Dans QP+200-300m;71;82.0;14;85.0
23;Dans QP+200-300m;65;77.0;13;71.0
33;Dans QP+200m    ;51;75.0;13;88.0
33;Dans QP+200m    ;45;87.0;14;86.0
38;Hors QP         ;90;97.0;23;89.0
38;Hors QP         ;69;90.0;9;86.0
39;Hors QP         ;91;86.0;32;94.0
39;Hors QP         ;73;92.0;27;91.0
50;Hors QP         ;105;89.0;29;95.0
50;Hors QP         ;106;85.0;33;95.0
61;Hors QP         ;103;87.0;32;95.0
61;Hors QP         ;106;87.0;25;95.0
45;Dans QP         ;75;83.0;15;94.0
45;Dans QP         ;88;89.0;21;85.0
73;Dans QP+200-300m;161;95.0;62;88.0
73;Dans QP+200-300m;142;89.0;33;91.0
83;Dans QP+200m    ;160;97.0;43;92.0
83;Dans QP+200m    ;167;89.0;32;95.0
57;Hors QP         ;93;87.0;18;91.0
57;Hors QP         ;90;91.0;23;87.0
36;Hors QP         ;57;89.0;9;94.0
36;Hors QP         ;70;83.0;9;95.0
61;Hors QP         ;146;74.0;24;77.0
61;Hors QP         ;142;72.0;32;78.0
47;Hors QP         ;62;95.0;17;94.0
47;Hors QP         ;82;85.0;17;97.0
40;Dans QP+200m    ;83;80.0;12;92.0
40;Dans QP+200m    ;86;81.0;24;89.0
62;Dans QP+200m    ;154;81.0;26;80.0
62;Dans QP+200m    ;138;78.0;26;84.0
53;Dans QP+200m    ;78;79.0;8;85.0
53;Dans QP+200m    ;81;79.0;15;91.0
52;Hors QP         ;80;81.0;19;94.0
52;Hors QP         ;78;82.0;14;91.0
51;Dans QP         ;73;75.0;15;78.0
51;Dans QP         ;55;87.0;12;86.0
85;Dans QP         ;131;73.0;17;94.0
85;Dans QP         ;122;75.0;15;85.0
92;Dans QP         ;132;80.0;16;89.0
92;Dans QP         ;121;89.0;23;83.0
73;Dans QP         ;113;78.0;18;93.0
73;Dans QP         ;115;81.0;19;90.0
90;Dans QP         ;130;87.0;6;89.0
90;Dans QP         ;118;93.0;11;91.0
35;Hors QP         ;75;89.0;11;86.0
35;Hors QP         ;59;90.0;13;91.0
117;Dans QP         ;166;89.0;26;90.0
117;Dans QP         ;158;79.0;12;83.0
76;Dans QP+200m    ;124;77.0;11;69.0
76;Dans QP+200m    ;122;82.0;8;75.0
109;Dans QP         ;196;67.0;4;80.0
109;Dans QP         ;191;71.0;3;91.0
142;Dans QP         ;211;66.0;1;86.0
142;Dans QP         ;227;79.0;7;88.0
101;Dans QP         ;163;78.0;5;90.0
101;Dans QP         ;159;79.0;4;87.0
